regressionExample(med_house_val(id1),4.526).
regressionExample(med_house_val(id2),3.585).
regressionExample(med_house_val(id3),3.521).
regressionExample(med_house_val(id4),3.413).
regressionExample(med_house_val(id5),3.422).
regressionExample(med_house_val(id6),2.697).
regressionExample(med_house_val(id7),2.992).
regressionExample(med_house_val(id8),2.414).
regressionExample(med_house_val(id9),2.267).
regressionExample(med_house_val(id10),2.611).
regressionExample(med_house_val(id11),2.815).
regressionExample(med_house_val(id12),2.418).
regressionExample(med_house_val(id13),2.135).
regressionExample(med_house_val(id14),1.913).
regressionExample(med_house_val(id15),1.592).
regressionExample(med_house_val(id16),1.4).
regressionExample(med_house_val(id17),1.525).
regressionExample(med_house_val(id18),1.555).
regressionExample(med_house_val(id19),1.587).
regressionExample(med_house_val(id20),1.629).
regressionExample(med_house_val(id21),1.475).
regressionExample(med_house_val(id22),1.598).
regressionExample(med_house_val(id23),1.139).
regressionExample(med_house_val(id24),0.997).
regressionExample(med_house_val(id25),1.326).
regressionExample(med_house_val(id26),1.075).
regressionExample(med_house_val(id27),0.938).
regressionExample(med_house_val(id28),1.055).
regressionExample(med_house_val(id29),1.089).
regressionExample(med_house_val(id30),1.32).
regressionExample(med_house_val(id31),1.223).
regressionExample(med_house_val(id32),1.152).
regressionExample(med_house_val(id33),1.104).
regressionExample(med_house_val(id34),1.049).
regressionExample(med_house_val(id35),1.097).
regressionExample(med_house_val(id36),0.972).
regressionExample(med_house_val(id37),1.045).
regressionExample(med_house_val(id38),1.039).
regressionExample(med_house_val(id39),1.914).
regressionExample(med_house_val(id40),1.76).
regressionExample(med_house_val(id41),1.554).
regressionExample(med_house_val(id42),1.5).
regressionExample(med_house_val(id43),1.188).
regressionExample(med_house_val(id44),1.888).
regressionExample(med_house_val(id45),1.844).
regressionExample(med_house_val(id46),1.823).
regressionExample(med_house_val(id47),1.425).
regressionExample(med_house_val(id48),1.375).
regressionExample(med_house_val(id49),1.875).
regressionExample(med_house_val(id50),1.125).
regressionExample(med_house_val(id51),1.719).
